Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Sos grecesc Knor Salad Dressing,415,0.4,43,6,0,1 plic = 9 g
Sos hamburger Mcennedy Lidl,268,0.8,20.6,18.3,1.4,
Sos iaurt KFC,242,0.2,22,10.8,0,1 buc = 50 g
Sos in stil alsacian Uncle Ben's,67,0.7,5.3,4.1,0.7,
Sos italian pentru salata Heinz,75,0.1,3,12,0,1 buc = 50 g
Sos maioneza de Univer,514,0.5,53,8.5,0,1 sticla = 470 g
Sos masline Agnesi,60,1.3,3.7,5.3,0,
Sos mediteranean Knor Salad Dressing,410,0.2,43,5.7,0,1 plic = 9 g
Sos milanez Ideea zilei Maggi,407,8.7,16.4,52.9,6.1,1 punga = 55 g
Sos mustar  cu otet Amora,250,0.5,26,3,0,
Sos Napoletana Panzani,50,1.4,1.5,7,1.5,1 borcan = 400 g
Sos paste Delhaize,101,1,5.1,12.4,0,
Sos pentru paste 365,52,1.3,1.9,6.3,2.3,1 borcan = 500 g
Sos pentru paste cu rosii si mascarpone Sacla,171,1.4,15.8,5.9,0,
Sos pesto Alla Genovese,454,5.3,45.4,6,0,1 borcan = 190 g
Sos pesto Delhaize,376,5,39.2,0.8,5.4,1 borcan = 190 g
Sos picant BBQ sauce Chakalaka,115,1.5,4,17,2.5,1 sticluta = 250 g
Sos pizza & pasta Sauce Panzani,58,1.6,2.2,7,2,1 borcan = 400 g
Sos remoulade Kania,598,0.6,63.9,5,0,1 cutie = 500 ml
Sos rosii Arrigoni,21,1.3,0.1,3.6,0,
Sos salata light Kania,182,0.7,15.2,9.8,0,
Sos salsa de ciuperci Knorr,120,0.9,12,2.5,0.5,
Sos soia Hacendado,90,6.2,0,16.2,0,
Sos soia Maxim's,133,13.3,0,20,0,1 lingura = 10 g
Sos soia premium light Delhaize,46,7.7,1,3.8,0,
Sos tartar Mikado,470,0.9,50,5,0,1 borcan = 400 g
Sos tomate si busuioc Panzani,69,1.2,2.6,6.7,0,1 borcan = 210 g
Sos tzatziki,95.2,2.7,7.7,4.2,0.7,
Sos Uncle Ben's Sweet & Sour,94,0.5,0.5,21.6,0.9,1 borcan = 400 g
Sos usturoi Delhaize,691,0.9,75.5,1.7,0.5,
Sos vegetarian de ciuperci cu gust de stridii Delhaize,117,3.5,0,25.8,0,
Ssos de tomate cu busuioc bio Auchan,47,1.3,2.2,5.4,0,1 borcan = 200 g
Tahini Solaris,692,26,60,12,6,
Tzatziki 365,51,3.3,2.9,2.9,0,
Tzatziki Lidl,207,7.8,9.3,15.5,0,1 cutie = 400 g
