Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Iaurt de baut cu capsuni Campina,66,2.8,1,11.6,0,1 pahar = 350 g
Iaurt de baut cu capsuni Zuzu,77,3.2,1,15,0,1 buc = 330 g
Iaurt de baut cu cereale cu Bifidus ActiRegularis cu 0.8% grasime Activia,64,2.8,0.8,10.8,1.3,1 cutie=320 g
"Iaurt de baut cu lapte de capra 2,7% Covalact",53,3.3,2.7,3.8,0,1 sticla = 420 g
Iaurt de baut cu piersici Pilos,78,3.2,0.8,13,0,1 sticla = 400 g
Iaurt de baut cu prune Activia,61,2.9,0.8,10.5,0.3,1 cutie = 320 g
Iaurt de baut Dukat LaDorna,46,3.2,1.5,4.5,0,
Iaurt de baut mango si para Zuzu,81,2.9,1.8,13.3,0,1 cutie = 320 g
Iaurt de baut Milli,62,3,3,4,0,
"Iaurt de baut piersci, lamaie si ceai verde Activia",68,2.9,0.2,12.6,0.8,
"Iaurt de baut PRO-X breakfast drink capsuni 0,1 % grasime",83,3.2,0.9,15,1.5,
"Iaurt de baut Yop capsuni 1,3%  Yoplait",79,2.8,1.3,13.6,0,1 buc = 330g
"Iaurt de capra 3,5%",57,3.1,3.5,3.5,0.2,
"Iaurt de tara 2,2% cu caise alese Covalact",107,3.4,2.2,18.3,2.5,1 pahar = 370 g
Iaurt degresat si ovaz cu seminte Zuzu,80,5,3.3,7.5,0.8,1cutie = 168 g
Iaurt dietetic 0% de la munte Prodlacta,29,3.5,0.1,3.8,0,1 pahar mic = 200 g
"Iaurt dietetic 0,1% Albalact",31,3.2,0.1,4.5,0,1 pahar = 150 g
"Iaurt dietetic 0,1% Big Panda",29,3,0,4,0,
"Iaurt dietetic 0,1% Lacteea",32,3.3,0.1,4.5,0,
"Iaurt dietetic 0,1% Natura",28.4,3.2,0.1,4.5,0,
"Iaurt din lapte  de vaca, bivolita si oaie Cedra",94,3.7,7,4.1,0,1 galetusa = 850 g
Iaurt din lapte de capra Gusturi Romanesti,63,3.9,3,5.1,0,1 borcan = 200 g
"Iaurt eco 3,5% Aldi R",72,5,3.5,4.7,0,1 cutie = 150 g
Iaurt extra Helvetica,65,3.5,4,4,0,1 pahar = 200 g
"Iaurt fin 1,8% Paco",47,3.2,1.8,4.5,0,
Iaurt Frutisima,84,2.8,1.9,14,0,
Iaurt Fulga 3%,57.7,3.2,3,4.5,0,1 cutie = 125 g
Iaurt grecesc 0% Mevgal,52,8,0,5,0,1 cutie = 200 g
Iaurt grecesc 0% Total,52,9,0,4,0,
Iaurt grecesc 10% Athena,135,6,10,4.5,0,1 cutie = 1 kg
Iaurt grecesc 10% Lindahls,134,5.2,10,5.8,0,
