Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Unt de arahide Felix,645,18.5,56.1,16.6,5,
Unt de arahide Mp Max,579,29.6,46,11.6,8.5,1 cutie = 1 kg
Unt de arahide smooth McEnnedy ,623,23.1,53,10.3,0,
Unt de arahide Stilla Dolce,589,22.2,45,26.8,0,
Unt de arhide Sano Vita,570,25,48,5,0,1 cutie = 375g
Unt organic de alune Biona,628,15,60.7,16.7,0,0
Xilitol,240,0,0,60,0,
Zacusca de vinete Chira,81,2,7,9.8,0,1 borcan = 300 g
Zacusca de vinete Topoloveni,91,0.7,7.2,5.8,2,1 borcan = 190 g
Zacusca picanta Raureni,23,0.8,0.2,6.8,3,1 borcan = 300 g
Zacusca taraneasca cu ardei Chira,148,2.6,7.3,18,0,1 borcan = 310 g
Zacusca Toppo Lidl,144,1.9,11,12.2,5.9,1 cutie = 200 g
Zacusca Vico,53,2.7,2.6,4.7,0,
Zahar brun,377,0,0,97.3,0,
Zahar brut 100% natural nerafinat SanoVita,406,0,0,99.8,0,
Zahar de trestie nerafinat Bio Greno,391,1,0,97.1,0.4,1 pachet  = 500 g
Zahar natural de cocos Special Sugar,370.3,1,0,92,0,1 lingurita = 5 g
Zahar tos,387,0,0,99.9,0,1 lingurita = 9 g
Zahar tos Coronita,400,0,0,100,0,
Zaziki Dr. Oetker,132,3.5,9.8,7.4,0,1 cutie = 200 g
Alge de mare chinezesti preparate,45,3,1,9,1,
Alge verzi-albastre deshidratate,400,70,0,20,0,
Aluat foietaj Linco,387,4.5,27,31,0,1 pachet = 800 g
Aluat pentru foietaj Morarita,395,4.5,27.6,32,0,
"Amestec de seminte in, chia, psysillium",496.5,11.4,30.1,40,29.4,
Amidon alimentar fin Gustin Dr. Oetker,343,0,0,87,0,1 cutie = 200 g
Arahide Alesto,640,26.5,53.5,9.4,0,1 punga = 250 g
Batoane cu pasta de fructe cu zmeura Aptonia,330,2,0.5,80,3,1 buc = 30 g
Baton nutbar cu arahide si susan Elmas,473,13.2,31.4,48,7.5,1 baton = 35 g
Bautura de soia  + Calciu Joya,52.3,3.9,2.3,3.7,0.6,1 cutie =1 l
Bautura din soia cu aroma de ciocolata Joya,61.1,3.3,1.9,7.7,0.9,
Bautura din soia cu gust de alune Alpro,29,0.3,1.6,3,0.3,1 cutie = 1 l
Bautura instant cacao Brumi,400,3.7,1.8,92,0,
Baza pentru mancaruri Adazia,146.2,3.6,0.3,21.2,0,1 lingurita = 5 g
Bors alb la plic Mammita,22,1,0.3,3.7,0,1 plic = 68 g
Bors de tarate,4,0.4,0,0.6,0,
Bors pulbere Maggi,193,3.8,4.5,36.6,0,
"Bruschete cu rosii, masline si oregano Maretti",465.1,9.1,20,62.2,0,1 punga = 70 g
Budinca cu ciocolata Dr.Oetker Original Pudding,158,4.7,4.5,24.8,0,1 plic = 50 g
Bulete din piept curcan umplut congelat pane Saga,145,12,19,14,0,1 buc = 19 g
Bulion de tomate,62,3.6,0,11.6,0,
Bulion Raureni,78.3,0.8,0.1,19,1,1 borcan = 300 g
Burger vegetarian Cris-Tim,210,15,15,5,0,
Cacao bio Alnatura,389,22.3,21,12.4,30.8,
Cacao Castello,215,25,10.5,9,3,
Cacao grasimi reduse Dr. Oetker,225,22.5,10.5,10.1,0,1 lingura cu varf = 10 g
Cacao instant cu caramel Lion,383,4.5,3.1,81,6,
Cacao neagra Dr.Oetker,302,19.9,20.7,8.9,0,
Cacao pudra 10- 12% grasime Grande,395,19.7,10.3,55.9,0,1 lingura cu varf = 10 g
Cacao pudra neagra Dr. Oetker,330,19,22.5,12.8,0,
Cacao Schmidt,317,19,21,13,0,
Cafea 3 in 1 Gano Cafe,376,8.4,2.1,58,0,1 plic = 21 g
Cafea 3 in 1 Latte Jacobs,465,2.1,19.5,70.2,0,
Cafea 3 in 1 Original Nescafe,417,1.6,12.4,74.6,2.9,1 plic = 15 g
Cafea 3 in 1 zahar brun Nescafe,421,1.6,13,73.5,1.7,
Cafea Dynamix Energy Jacobs,405,2.5,10.5,75.7,0,1 plic = 18 g
Cafea Frappe instant Doncafe,344,2,0,84,0,1 lingurita = 9 g
Cafea instant 3 in 1 Intense Jacobs,395,2.1,4.8,85.5,0,"1 pliculet = 17,5 g"
Cafea Italian Espresso Based Illy,15,0.3,0,3.5,0,
Cafea si zahar 2 in 1 Nescafe,303,1.1,0.3,74.2,0,1 plic = 10 g
Caju Auchan,621,19.6,50.1,19.9,6,1 pachet = 250 g
Cappuccino Choco Elite,414,4,10,77,0,"1 plic = 12,5 g"
Cappuccino Clasic Nescafe,444,11.7,17.4,60.3,0,1 plic = 4 g
Cappuccino Melitta Weisser,391,5.1,6,78.9,0.1,1 portie = 15 g
Carnati afumati de post Aivia,123,17,3.7,5.3,0,1 carnat = 50 g
Cascaval vegetal Edam Vian,334,25,26,0.1,0,
