Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Baton fulgi ovaz cu cacao Dukan,323.5,18.5,5,55,9,1 baton = 25 g
Baton LowCarb zmeura Best Body Nutrition,372,46,13,25,0,1 baton = 40 g
Baton musli ciocolata Nestle,406,6.2,10.7,65.4,4.2,1 baton = 40 g
Baton musli cu merisoare K-Classic,389,4.1,14.5,66.2,2.6,1 baton = 30 g
Baton nut bar First Nice Lidl,541,12.8,33.5,45.4,3.7,1 baton = 35g
Baton proteic High Energy Bar Multifruct Isostar,392.5,5.5,9.2,72.2,5.2,1 baton = 40 g
Biscuit cu crema de iaurt Belvita,470,7.7,18,66,3.9,1 buc dubla = 25.3 g
Biscuiti cereale miere si alune de padure BelVita Start,465,7.9,17,68,3.3,
Biscuiti Coconitos,431.3,9.1,9.7,76.9,0,1 pachet = 100 g
Biscuiti cu cacao BelVita Start,440,8.2,16,66,5.2,1 biscuite =12.5 g
Biscuiti cu cereale si ciocolata Belvita Start,450,8.3,16,65,6.4,
Biscuiti cu cereale si musli Belvita,440,7.3,14.5,67,4.5,1 biscuite = 12.5 g
Biscuiti cu crema de cacao Fox,475.7,7.9,15.7,74.1,0,2 buc = 30 g
Biscuiti cu mar Digesta,453,6.8,18.7,61.3,7,1 pachet = 90 g
Biscuiti cu miere Maia Rostar,353,8.8,9.2,59.4,0,1 buc = 5 g
Biscuiti cu piersici si caise Gerlinea,379,19.8,9.6,53.4,2.1,1 biscuite = 10 g
Biscuiti cu seminte de in si canepa Gustare Nevinovata,420,13.3,12.8,59.4,7,1 pachet = 30 g
Biscuiti cu susan Gerble,472,11.4,22.3,56.4,5.4,1 buc = 11.5 g
Biscuiti cu unt si mai putin zahar Leibnitz,420,9.1,9.9,70,7.9,1 biscuite = 5 g
Biscuiti de ovaz Ovezano,390,5.4,14.3,69.3,7,
Biscuiti dietetici inveliti cu ciocolata alba fara zahar Santiveri,468,7,26.5,61.4,0.6,1 buc = 17g
Biscuiti digestivi din faina integrala cu continut redus de grasimi Gullon,439,7.5,14.5,69.7,3.3,1 buc = 100 g
Biscuiti digestivi Tower Gate Lidl,489,6.7,22.7,62.6,3.8,
Biscuiti fara zahar Dita RoStar,399.8,12.3,11.3,62.3,2.1,1 buc = 3 g
Biscuiti Fioccoli con cereali croccanti Colussi,426,7.3,15.9,71,2.4,1 buc = 10 g
Biscuiti Grancereale Frutta,462,7.5,19.5,59.5,9,1 biscuite = 10 g
Biscuiti integrali Ottimini,460,7.8,19,64,4.5,
Biscuiti Marilu,470,6.6,18,70,2.3,
Biscuiti multicereale fara zahar Dita,423.4,12.8,10.8,66.8,4,1 pachet = 150g
Biscuiti ovaz sarati Dukan,367,16.7,10.2,44.4,15.5,
Biscuiti petit beurre 365 Mega Image,511,7,26,61,2.6,1 biscuite = 14 g
Biscuiti Petit Beurre Croco,455,10,13,68,2.7,1 pachet = 100 g
Biscuiti populari Eurex,418.2,10.2,10.1,71,1.2,1 punga =100 g
