Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Supliment aroma vanilie Dymatize iso 100 Gourmet,379,89,1,2,0,1 masura = 28 g
Supliment Colon Help,500,14.9,21.1,60.6,54,1 lingurita dozatoare = 8 g
Supliment de fibre din cereale Dieta Plus Rommac,187.8,6.7,1,37.7,50,1 plic = 30 g
Supliment de fibre din mar Dieta Plus Rommac,316,4,0.5,74,18,1 plic = 30 g
Supliment N-Large 2 Prolab,395,34,3.3,57,0,1 masura = 38 g
Supliment proteic Milk & Egg Redis,364,85,0.8,4,0,1 masura = 25 g
Supliment proteic Syntha 6 BSN,454.6,50,13.6,34.1,11.4,1 masura = 44 g
Supliment Super Mass-R Redis,358,50,0.8,38,0,1 portie = 60 g
Suplimente 10 Proteins ProNutrition,402.5,72,8.1,9.5,1.8,1 cupa = 35 g
Suplimente 100% whey gold standard double rich chocolate optimum Nutrition,372,78.5,3.8,5.8,1.9,1 masura = 30.4g
Suplimente 12 Hour rich vanilla Dymatize Elite,379,64,4.5,18,6.5,1 masura = 33 g
Suplimente Amino 2700 Universal,240,60,0,0,0,3 masura = 10 g
Suplimente AminoFuel Twinlab,222.2,33.3,0,24.4,0,3 linguri = 45 ml
Suplimente Beef Aminos Universal Nutrition,200,50,0,0,0,
Suplimente Bulkpouders all-in-one,403,58.3,3.8,34.1,0,
Suplimente Carbo Gain Now Foods,380,0,0,94,0,
Suplimente Carbo Plus Universal,388,0,0,97,0,
Suplimente Carnivor Muscle Meds,348,69,0,18,0,0
Suplimente CFM whey protein neutral Weider,385,90,0.4,1,0,
Suplimente CLA 1250 MRM,1000,0,100,0,0,1 buc = 1250 mg
Suplimente Combat shake proteic Muscle Pharm,400,71.4,4.3,14.3,2.3,1 cutie = 907 g
Suplimente cu fier efervescent aroma coacaze Kruger,200,0,0,3.5,0,
Suplimente cu gust vanilie 100% Whey French Vanilla Gold Standard,377,81.2,3.4,5.6,0,1 cupa = 31 g
Suplimente Elite Fusion Dymatize,430,52,6,11,5,1 portie = 44 g
Suplimente Elite Liquid protein Dymatize,99,25,0,0,0,1 portie = 58 ml
Suplimente Elite Protein milk chocolate MyoFusion,405,67.5,8,13.5,3,1 masura = 37 g
Suplimente faina de canepa Canah,281.3,29.4,8.1,22.7,29.5,
Suplimente formula 1 Herbalife,315,38.9,9,19.5,19.7,2 linguri (1 portie) = 26 g
Suplimente Formula 80 Multipower,375,80,1.1,8.4,0,100 g
Suplimente GFX-8 Pro Nutrition,393.6,45.6,4,43.8,0,
Suplimente Glutamina-SR MHP,416.6,83.3,0,0,0,1 portie = 6g
Suplimente Gold Standard 100% Whey Rocky Road Optimum Nutrition,370,78.9,3.4,7.5,1,1 masura = 25g
Suplimente Ideal Protein Redis,384,75,0.5,20,3.5,
Suplimente Iso Soy Pro Nutrition,361,88,0,0,0,
Suplimente Iso Whey Zero BioTech,404,84,3,6,0,1 punga = 500 g
Suplimente izolat proteic din WPI Supliment Pak,375,95,0,0,0,
Suplimente izolat proteic din zer WPI Redis,375,95,0.4,0.2,0,1 masura = 25-30 g
Suplimente L-carnitin instant Redis,410,7,0,90,0,1 pliculet = 15 g
Suplimente Mass 20 Scitec Nutrition,370,20,1.4,70,0,1 portie = 50 g
Suplimente Mass Up Activlab,393,10,0.5,87,0,
Suplimente Max Protein Natural Plus,380,85,4,0,0,
Suplimente Metapure Zero Carb QNT ,352,84,1.1,1.5,0,1 cupa = 30 g
Suplimente MHP Probolic-SR Chocolate,424.2,60.6,12,15,6,1 cupa = 33 g
Suplimente milk & egg cu aroma de ciocolata Universal,380,73,6,9,0,100g
Suplimente Milk Chocolate Isofusion,387,80.7,3.2,6.5,0,
Suplimente Muscle Pharma Assault,168,0,0,39,0,1 masura = 23 g
Suplimente MyoFusion Gaspari Nutrition,411.6,64.6,8.4,14,2.7,1 portie = 36 g
Suplimente Natural 100% Oats & Whey Optimum Nutrition,384.6,46.1,2.9,44.2,7.7,1 masura = 52 g
Suplimente Nitro Pure Whey Gold Biotech USA,389.2,73.9,6.8,6.1,0,1 cupa = 28 g
Suplimente Nutri Star High Protein Isolate,384.8,70.3,3.1,18.9,0,
Suplimente Omega-3 Now Foods,770,0,77,0,0,1 pastila = 1.3 g
Suplimente Optimum Complex Gainer Nutrition Pro,394,36.3,4.8,51.5,3,1 masura = 165 g
Suplimente Optimum Serious Mass,377,15.9,1.3,75.3,0,
Suplimente Pro Complex ON,364.5,81,1.4,6.8,2.7,
Suplimente Pro Mass Pro Nutrition,379.9,13.8,1.8,77.1,0,1 masura = 40 g
Suplimente Pro Whey Hardcore Pro Nutrition,422.8,60.1,7.6,19.2,0,1 plic = 30 g
Suplimente Prot-R 85 Redis,362,85,0.2,5,0.1,
Suplimente proteice Advanced Nutrition Blend,389,80,5.2,5.5,0,1 masura = 37.5 g
Suplimente proteice Myo Max 10 in 1 Scitec  Nutrition,333.3,30.3,3.8,43.9,0,1 cupa = 44 g
Suplimente Protein Shake Fit Up Pro Nutrition,320.7,60,3.3,10.7,0,1 masura = 30 g
Suplimente proteina zer hidrolizat XCore Best Body,412,91,3,3.7,1.4,1 masura = 30 g
Suplimente Protwhey R Redis,398,80,5.3,7.6,0,
Suplimente QNT Delicious whey protein,415,76,8.5,10,0,1 portie = 40 g
Suplimente Rapid Mass Natural Plus,391,22,0.8,72,0,1 buc = 4000 g
Suplimente Real Gains Universal,400,36,3,56,1,1 cupa = 45 g
Suplimente shake cicolata total whey Gold Nutrition,392,76,4,13,0,1 masura = 26g
Suplimente Super Aminos Weider,349.8,79,2.2,3.5,0,
Suplimente Total Mass 4200 Nutritech,398.5,25,4,66,0,1 cupa = 75g
Suplimente Ultra Whey Pro Universal,386.7,73.3,5,11.6,0,1 cupa = 30 g
Suplimente vanilla Forever Lite Ultra,360,68,4,16,4,1 masura = 25 g
Suplimente VPX Syngex,420,80,6,8,0,"1 masura = 25,5 g"
Suplimente whey Gold Standard,372,78.5,3.8,5.8,1.9,
Suplimente Whey protein concentrate 82% banane Bulkpowders,435,77.1,8.3,12.9,0,1 cupa = 30 g
Suplimente Whey Protein Isolate Elite,377.4,77.4,6.5,6.5,0,1 masura = 31 g
Suplimente Whey Protein Pro Nutrition,431,76.4,8.4,12.5,0,
Suplimete Hydro Pro Pro Nutrition,350,86.3,1.2,0.5,1.5,1 cupa = 20 g
