Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Somon afumat Fano,206,22,12,0,0,
Somon afumat Gastronatura,206,17.3,14.2,2.1,0,
Somon afumat Kirkland,230,27,13,0,0,
Somon afumat Lax Kallrokt Ikea,210,23,13,0,0,1 pachet = 200 g
Somon afumat Negro 2000,212,23,12,3,0,
Somon afumat Tesco,310,21.5,24.9,0,0,
Somon file cu piele Fishy Kaufland,206,22,12.3,0,0,
Somon file Del Mare,116,19.9,3.5,0,0,1 punga = 450 g
Somon file neafumat FoodLab,235,22.9,15.8,0.4,1,1 cutie = 100 g
Somon in crusta crocanta congelat Frosta,189,12.1,0.4,33.5,0,1 buc = 100 g
Somon in ulei cu legume Home Garden,388,11,37,2.8,0,1 cutie = 170 g
Somon marinat eco. Irma,190,25,9,3,0,
Somon marinat Norfisk,176,20.1,10.4,0.5,0.1,
Somon norvegian marinat Ocean Fish,228.4,18.5,16.9,0.5,0,
Somon salbatic de Alaska afumat Labeyrie,123,24,2.6,0.8,0,1cutie = 100 g
Somon Tip,230,18.5,17.1,0.6,0.1,
Sprot afumat in ulei Lasos,322,17.8,35.8,0,0,1 conserva = 170 g
Sprot in sos tomat Eva,65.2,4.4,4,2.9,0,1 conserva = 170 g
Stavrid,115,16.6,5.1,0,0,
Stiuca,88,19.3,0.7,0,0,
Sturion la gratar,135,20.7,5.2,0,0,
Surimi crabsticks Vici,115,6,3.2,16,0,
Surimi Del Mare,115,6,2.2,17.8,0,
Tilapia crud,96,20.8,1.7,0,0,
Tipar,295,15,25,0,0,
Ton al Naturale Rio Mare,100.5,24,0.5,0,0,1 cutie = 80 g
Ton bucati in suc propriu Delhaize,79,19,0.3,0.1,0,
Ton bucati in ulei Ubago,202,24.9,10.4,2.1,0,1 conserva = 120 g
Ton bucati suc propriu Fine Life,98,21.9,1.1,0,0,
Ton cu sos de rosii Barilla Tonno,83,4,4,7,0,
Ton Faro,204,24,12,0,0,1 punga = 300 g
Ton in sos tomat Grande Famiglia,155,16.9,8.5,2.7,0,1 buc = 80 g
Ton in suc propiu 3x80g DLL Mega Image,109,25,0,0,0,1 cutie = 80 g
Ton in suc propriu light Dardanel,116,25.6,0.7,0.2,0,1 punga = 120 g
Ton in suc propriu Rio Mare,100.5,24,0.5,0,0,
Ton in ulei de masline Imperial,186,24,10,0,0,1 cutie = 220 g
Ton intreg natur Saupiquet,116,27.1,0.9,0,0,1 buc = 140 g
Ton maruntit in suc propriu Sun Food,204,18,14,0.8,0,1 cutie = 170 g
Ton maruntit in ulei vegetal Freshy Fish,196.4,23.2,10.7,0,0,1 conserva = 160 g
Ton Per Pasta Rio Mare,291,11.5,25,4,0,
"Ton, conserva in ulei",198,29,8,0,0,1 conserva = 150 g
Trunchi de cod Azuris,82,17.8,0.7,0,0,
Trunchi de merluciu Del Mare,63.9,11.9,1.8,0,0,1 punga = 960 g
Baby hering Copanex,217,17.4,15.3,0.7,0,1 punga = 800 g
Batoane de beste Fish Fingers Frosta,230,13.7,9.9,21.2,0.8,1 cutie = 300 g
Batoane de peste congelat Frosta,178,11.6,5.7,20,0,1buc = 30g
Batoane de peste congelat Royal Arctic,219,8.3,9.9,24.1,0,1 buc = 25 g
Batoane de peste Iglo,197,13,8.1,18,0,1 baton = 30 g
Batoane de peste pane Vici,212,11,8,24,0,
Batoane de surimi cu gust de crab Atlantida,130,7.9,3.8,16.5,0,1 pachet = 250 g
Batoane peste pane fish fingers Ocean Sea,181,11.9,7.9,15.2,0,1  cutie = 450 g
Biban de apa dulce gatit,146,24.2,4.7,0,0,
Biban de mare la gratar,171,23.8,7.7,0.5,0.1,
Calamar cu branza pane congelat Vici,191,12,9,15,0,
Calamar in sos american Sun&Sea,129,12.4,6.7,4.8,1.7,1 conserva = 111 g
Calamar inele pane congelate,228,8.8,7.9,29.8,1.8,
Cambula peste plat,91,18.8,1.2,0,0,
Caracatita gatita,164,29.8,2.1,4.4,0,
Caracatita Sol Mar,177,21.7,9.4,1.4,0,
Carne de crab fiert,128,19.3,5.4,0.5,0,
Chefal,117,19.4,3.8,0,0,
Chipsuri din creveti Lidl,529,1.9,33.5,54.5,0,1 punga = 100 g
Cocktail fructe de mare La Caldera,73,13,1.6,1.7,0,1 cutie = 270 g
Cocktail fructe de mare Sainsbury's,216,5.3,17.9,8.2,0.5,
Cod,107,24,1,0,0,
Cod Del Mare,80,18.3,1,0,0,
Coktail fructe de mare Delhaize Mega Image,63,10.1,0.9,3.6,0.5,1 punga = 450 g
Conserva ansoa in ulei picant Eridanous,381,16.2,34.8,0.5,0,1 cutie = 60 g
Conserva caracatita Dia,96,18.1,1.6,2.3,0.2,
Conserva caracatita in ulei vegetal Sun & Sea,86.8,15,2,2.2,0,1 cutie = 70 g net
Conserva de file de macrou in ulei Nixe,299,20,24,0.3,0,1 conserva = 125 g
Conserva de file sardina in ulei extra virgin Auchan,200,23,12,0,0.4,1 buc = 100 g
Conserva de hering file in sos de rosii Neptun,148,5.4,10.8,7.4,0,1 cutie = 170 g
Conserva de macrou file in ulei de floarea soarelui 365,201,27,10,0,0,1 conserva = 88 g
Conserva de macrou file natur Saupiquet,159,11.8,12.4,0,0.2,1 conserva = 169 g
Conserva de macrou in ulei Victory,143,21,6,0,0,
Conserva de sardine in sos de rosii Victory,107.1,14.3,3,3.6,0,
Conserva de sardine in sos tomat Puerto del Gusto,90,16.3,1.7,2,0,1 conserva = 200 g 
Conserva de sardine in sos tomat The Choice 111 Brand,80,2,0,19,0,1 conserva = 200 g
Conserva de sardine in ulei de Baltica,252,18,20,0,0,1 cutie = 240 g
Conserva de sardine in ulei de masline Dia,210,22.8,13,0,0,
Conserva de sardine in ulei floarea soarelui Vitae Doro,115,13,7,0.1,0,1 conserva = 90 g
Conserva de sardine in ulei vegetal Cody,208,25,11,0,0,1 cutie = 125 g
