Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Piure de castane (congelat),272,1,8,49,0,
Portocale,47,0.9,0.1,11.8,2.4,
Prune deshidratate Auchan,326,2.2,0.4,75,7.1,
Prune deshidratate Elmas,240,2,0.4,64,7,1 pruna = 10 g
Prune deshidratate Mega Image,282,2.2,0.4,63.9,7.1,
Prune deshidratate Stilla Natura,243,2.8,0.7,74.6,0,1 punga = 250 g
Prune uscate,240,2.2,0.4,63.9,7.1,
Prune uscate Clever,254,2.2,0.4,57,7.1,1 punga = 200 g
Revent,17,0.6,0.1,3.3,1.3,
Salata de fructe,60,0.7,0,13.4,1.4,
Smochine deshidratate Bio Natur,249,3.3,0.9,63.9,9.8,1 punga = 200 g
Smochine deshidratate Free Time,217,4,1.2,55.3,6.7,1buc = 13 g
Smochine deshidratate Orchard,259.8,3.3,0.9,54.7,9.8,1 pachet = 250 g
Smochine deshidratate soft 365 Mega Image,249,3,0.9,64,7,
Smochine proaspete,74,0.8,0.3,19.2,2.9,
"Smoothie smuticeala cocos, ananas, mar, portocala si banana Sloop",81,0.9,3.4,11,0.6,1 sticla = 200 ml
Stafide,299,3.1,0.5,79.2,3.7,
Stafide aurii Elmas,311,3.1,0.2,74.9,1.8,1 punga = 200 g
Stafide aurii Mega Image,296,2.7,0.7,69.4,2.7,
Stafide brune Nutco Fresh,325,3,0.5,75,4,1 punga = 250 g
Stafide brune Orlando's,325,3,0.5,75,4,1 punga = 100 g
Stafide Happy Harvest,296,2.7,0.4,69.4,2,
Stafide Mogyi,276,2.4,0,65,0,1 punga = 100 g
Stafide Poex,305,2.5,0.6,69,5.2,1 punga = 200 g
Stafide Stilla Natura,305,2.5,0,68.8,5.2,
Struguri,69,0.7,0.2,18.1,0.9,
Suc de mere Frupt Albalact,45,0.2,0,10.2,0.2,
Suc proaspat de grapefruit rosu sau roz,41,1,0,9.6,2,
Tamarillo proaspat,33,2,1.5,8,3,1 buc = 60 g
Visine,50,1,0.3,12.2,1.6,
Visine congelate First Fruit,27,1.3,0.3,4.8,1.2,1 cutie = 300 g
Zarzare,46,0.7,0.3,11.4,1.4,
Zmeura (congelata),45.2,1.1,0,10.2,4.4,
Zmeura congelata Carrefour,43,1.1,0.7,5.8,4.7,
Zmeura congelata Green Grocer`s,49,1.1,0.9,8.9,1.7,1 punga = 500 g
Zmeura congelata Premia Mega Image,41,1,0,7,0,1 cutie = 300 g
Zmeura lux Frost,49,1.1,0.8,7.3,0,
