Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Paine de secara Benecol Dobrogea,244,19.6,5,26.8,6.6,1 felie = 20 g
Paine de secara cu seminte de floarea soarelui Longevita,212,5.3,3.8,34,9.7,
Paine de secara French Toast,236,9,1.6,46.5,0.4,1 felie = 30g
Paine de secara integrala Wasa,334,9,1.5,60,22,1 felie = 9 g
Paine de secara KeineTouch,236,9,1.6,46.5,0.4,1 felie = 25 g
Paine de secara Pumpernickel Van Der Meulen,176,5.4,1.4,35.3,11.9,
Paine de secara Titan,241.8,8.9,1.7,47.7,0,
Paine de secara Trans Agape,202,6.2,0.1,44.2,0,1 paine = 500 g
Paine dieta cu amestec de fainuri si tarate de grau feliata Titan,223,9.2,0.3,44.5,3.1,1 punga = 400 g
Paine din faina macinis integrala Dobrogea,242.8,8.9,1.3,47.2,13,1 paine = 700 g
Paine Elta Azima,265,15.8,3.3,19.3,47.5,1 buc = 21 g
Paine feliata cu faina integrala de grau Carrefour,224,10.5,2,41,8,1 buc = 600 g
Paine feliata Dieta Belforno,217.7,9,0.9,43,0,1 felie = 25 g
Paine feliata integrala Savoria Toast,242,9.3,1.4,48.7,8.6,1 felie = 25 g
Paine feliata prajita fara sare Biscottes Cora,398,12,6.5,72,5,1 felie = 8.3 g
Paine franzeluta Borodinski,209,6.2,1.2,45.2,0,
Paine french toast Keine Touch,244,11.9,3.7,45.5,9.6,1 felie = 25 g
Paine graham,268,10.1,1,54,3.2,1 felie = 25 g
Paine graham Bongrana,258,10.4,3.5,44.5,3.4,1 felie = 20.8 g
Paine graham feliaza KB Miez Toast,246.5,7.5,4.5,44,5,1 felie = 25 g
Paine graham French Toast,245,8,2.9,46.5,0.7,1 feile = 25 g
Paine graham Neptun Dobrogea,236,8.9,0.8,46.8,3.2,
Paine graham Vel Pitar,238,11.6,1.7,40.5,7.7,
Paine Hipoglucidica Bongrana,244,19,4,32,11,
Paine hipoglucidica Pambac,250,24.5,3.8,29.4,12.8,1 paine = 200g 
Paine inegrala toast Real,245,11.2,2.5,44,5.7,
Paine integrala Alipende,251,9,3,47,8,1 felie = 23 g
Paine integrala Billa Vollkornbrot,212,6.1,4.2,32.7,4.7,1 felie = 50 g
Paine integrala bogata in fibre vegetale KB,245,12,4.6,44.5,6,1 felie = 31.3 g
Paine integrala cu ovaz K-Classic,206,7,3.3,33,8,
Paine integrala cu secara Kaufland,177,5,1,32,9,1 felie = 35 g
Paine integrala cu seminte de floarea-soarelui Pural,192,6,3,34,8,
Paine integrala cu seminte Warburtons,288,12.3,8.9,39.7,6,1 felie=46 gr
Paine integrala de grau Pural,188,6,2,36,8,
Paine integrala de secara dezhidratata 3 Ahren Brot Penny,339,10.8,1.9,60.6,18,1 buc = 8 g
Paine integrala de secara Vita Star,198,5,1,36,11,
Paine integrala Farmhouse Soft Batch Wheatfield Bakery,210,10.4,2.8,36.2,7,1 felie = 50 g
Paine integrala feliata Panifcom,218,8,1,43,0,1 felie = 23 g
Paine integrala Grau intreg Vel Pitar,258,8,4.5,54,10.4,
Paine integrala Kohberg,200,6,1,38,9,
Paine integrala Pan Group,251,9.5,1,51,7,
Paine integrala prajita Armonie Mulino Bianco,395,12,6,69.7,7,1 felie = 7.9 g
Paine integrala UrteKram,240,36,5.5,3,7.5,
Paine keto cu seminte si branza,228.8,16.2,16.3,6.1,2,
Paine Lady Puravita Cora,228,8.4,3.1,41.7,6.8,1 paine = 280 g
Paine Longevita Franzeluta,237.3,8.5,1.2,47.3,0,
