Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Mazare congelata Casa Taraneasca,72,5,0.2,13.3,0,
Mazare congelata Dujardin,69,6.6,0.4,9.7,7.6,
Mazare congelata Icefield,77,5.7,0.4,12,0,
Mazare congelata K-Classic,84,6.6,0.4,9.7,0,
Mazare cu morcovi congelate Bonduelle,61,4.6,0.3,4.1,2.5,
Mazare fina Fine Foods,71,5,0.7,8.6,4.9,1 cutie = 400 g
Mazare intreaga slefuita Perlina,348.2,31.6,1.4,52.2,0,1 pachet = 1 kg
Mazare si morcovi congelati Chira,65,3.7,0.3,11,0,1 punga = 450 g
Mazare verde (conserva),69,4.2,0.2,12.6,4.1,
Mazare verde boabe dulce Bonduelle,81,6.3,0.8,8,8.5,
Mazare verde boabe No. 1 Carrefour,54,4.1,0.7,7.5,1, 1 borcan net = 380 g
Mazare verde congelata No.1 Carrefour,92,6.6,0.5,13.8,2.7,1 punga = 1 kg
Mazare verde cu morcovi Icefield,72,4.1,0.3,12.7,0.1,
Mazare verde fina Casa Taraneasca,78.6,5,0.2,13.3,0,1 punga = 1000 g
Mazare verde fina Penny,65,4.9,0.1,7.4,3.7,1 cutie = 280 g
Mazare verde frageda congelata,78,5.2,0.3,14.3,5.5,
Mazare verde mijlocie Naturelo,69,4,0,13,4,1 borcan = 700 g
Mazare verde Profi,70,4.5,0.3,9.9,1,1 borcan = 450 g
Mexico mix Bonduelle,81,2.6,0.3,15,3.8,1 punga = 400 g
"Mix broccoli, conopida si morcovi Hortex",28,1.9,0.3,3.1,0,1 punga = 400 g
Mix de legume Macedonia Alipende,24.4,2.4,0.1,3.4,0,1 cutie = 240 g
Mix legume congelate Delhaize,28,1.1,0.4,5,2.8,
Mix legume congelate Wok Chinese Findus,40,1.5,0.2,8,0,1cutie = 325 g
Mix legume Delikatess Findus,20,1.5,0.4,3,0,1 punga = 325 g
Mix legume la gratar Ardo,79,2.4,4.6,7,2.9,1 punga = 450 g
Mix legume pentru supa Dujardin,22,1.7,0.2,3.4,0.2,1 punga = 450 g
Mix morcovi si mazare bio DLL Mega Image,45,3.1,0,6.1,3.9,1 borcan = 220 g net
Morcov fiert,35,0.8,0.2,8.2,3,
Morcovi (congelati) fierti,35,0.8,0.2,8,3,
Morcovi baby Mega Image,35,0.4,0,6.7,3.2,
Muguri bambus la conserva,19,1.7,0.4,3.2,1.4,
Nap,28,0.9,0.1,6.4,1.8,
Naut fiert Hacendado,117,6.3,1.7,16.8,4.7,
"Orez cu ardei verde, rosu si galben Uncle Statis",210,4.3,0.4,46.2,1.3,
Orez cu porumb si legume asortate Uncle Statis,218,5.2,0.3,47.6,2.3,1 punga = 450 g
Orez risotto Gradena,100,3.3,0.6,20.2,0,
Pasta de rosii,60,5,0.6,13.4,1.2,
Pasta de tomate 24% Siro,94,4.7,0,17.6,2.3,1 cutie = 800 g
Pasta de tomate 28% Olympia,89.4,2.5,0,19.8,0,
Pasta de tomate Alipende,70.4,1.3,3,9.6,0,
Pasta de tomate Olympia Tecuci,89.4,2.5,0,19.8,0,1 borcan = 705 g
Pastarnac radacina,72,1.4,0.5,15,4.9,
Pate cu ciuperci Helvet Inedit,294,8.4,20.2,8.3,0,
Pate vegetal cu ardei Helvet Inedit Bio,191.7,11.7,7.8,17.6,0,1 cutie = 50 g
Pate vegetal cu masline Helvet Inedit,191.7,11.7,7.8,17.6,0,1 buc = 50 g
Pate vegetal din boabe de soia cu ciuperci Inedit,223,11,15.3,10.2,0,1 cutiute = 50 g
Piure de cartofi cu marar instant Rollton,377,10.5,3.8,75.3,0,1 plic = 100 g
Porumb,59,2,1,10,1,
Porumb boabe Delhaize Bio,69,2.5,1.4,11.6,2.5,
Porumb boabe Sidis,78,2.7,0.6,15.5,0,
"Porumb boabe, la cutie",79,2.4,0.5,19.4,2,
Porumb congelat Carrefour,63,1.9,0.9,12.6,0,1 punga = 400 g
Porumb congelat la punga Vita Star Kaufland,93,3,3,12,1,
Porumb dulce Bonduelle Gold,77,3,2.2,11.4,0,
Porumb dulce Profi,118.2,3.9,1.3,22.4,0,1 cutie = 340 g
Praf pentru fasole batuta Darling,379,26,1.6,63,0,
Praz (congelat),31,0.8,0.2,6.4,1,
Pulpa de rosii Pomi,23,1.3,0.2,4,1.5,
Pulpa rosii La Doria,21.7,1.2,0.5,3.1,0,
Radacina de telina,16,0.7,0.2,3,1.6,
Ridiche,16,0.7,0.1,3.4,1.6,
Ridiche orientala,18,0.6,0.1,4.1,1.6,
Risotto congelat sos tomat Bonduelle,82,2.4,0.8,16.3,0,1 pachet = 400 g
Rosii,18,0.9,0.2,3.9,1.2,1 buc = 90 g
Rosii cherry,20,1.3,0,4,1.3,1 buc = 10 g
Rosii cuburi Amata,23.7,1.2,0.1,3.2,0,
Rosii decojite Cora,19,1.2,0.2,3,0,1 cutie = 400 g
Rosii decojite in conserva Elomas,21,1.1,0,3.5,0.8,1 conserva = 400 g
Rosii decojite K-Classic,19,1.2,0.3,3,0,
Rosii decojite Perlati Cirio,19,1.2,0.1,3.2,0,
Rosii intregi decojite Gradena,25.2,1.2,0.2,4.3,0.7,
Rosii kumato,31,1.3,0.3,5.8,1.8,
Rosii pasate Cirio,24,1.3,0,4.6,0,1 sticla = 700 g
Rosii pasate K-Classic,27,1.4,0.5,3.7,1.1,
Rosii pasate Passata Rustica Cirio,32,1.2,0.1,5.3,0,1 sticla = 680 g
Rosii tocate la conserva Il Nutrimento,18,1,0.4,2.9,0,
Rosii uscate in ulei de fl soarelui Carrefour,142,4.7,8.7,9.5,3.5,1 borcan = 280 g
Rosii uscate la soare Italiamo Lidl,157,7.9,0.8,22.3,1.4,
Rucola Spar,15,3.1,0.2,0.2,1.6,1 punga = 125 g
Salata Amarone Mix 365,19,2,0.4,4.2,2.3,1 punga = 100 g
Salata Atlantic 365,37,1.7,6.7,0.2,0,
Salata bolero mix Eisberg,26.9,1.4,0.2,4.8,0,1 punga = 180 g
Salata Chef Mega Image ,77,3.8,4.6,5.8,2.5,1 punga = 200 g
Salata cosmopolitana 365,20.1,1.6,0.3,3.8,0,1 punga = 100 g
Salata de ardei copti cu vinete 365,59.1,1,2.1,8.8,0,1 cutie = 250 g
Salata de sfecla rosie cu hrean 365,28,1.1,0.2,5.5,1.4,
Salata de varza 365,64,1.5,3.5,6.5,2.4,1 cutie = 200 g
Salata de vinete Lidl,125,1.1,11.4,2.7,0,1 cutie = 250 g
Salata dulce crocanta Oliveris Agriro Fresh,20,1.6,0.3,3.8,0,1 punga = 150 
