Aliment,Calorii,Proteine,Lipide,Carbohidrati,Fibre,Aproximari
Toba cu limba Baroni Lidl,165,12.5,12.5,0.5,0,1 bucata = 450 g
Toba de curcan C+C Kaufland,68,11,2.5,0.3,0,
Toba Meda,231,12,20,0.8,0,315g
Bacon afumat Carrefour,412,12,40,1,0.4,
Bacon afumat cuburi 365,233,15.5,18.8,0.5,0,1 cutie = 250 g
"Bacon afumat, feliat Cora",112,22.3,2.2,0.8,0,
Bacon Aldis,415,14,38,1,0,
Bacon Auchan,250,16,20,1.5,0,1 felie = 16.7 grame
Bacon Cora,161,16.3,10.5,0.5,0,1 cutie = 150 g
Bacon fume Dulano,135,28,2,1,0,
Bacon La Selva,350,14.9,31.7,1.3,0,
Bacon porc feliat Auchan,250.5,18.2,19.4,0.9,0,
Baton carne Reinert,272,13,24,1,0,
Bio Salami Afumat Hofer,425,23,37,0,0,1 pachet = 100 g
Cabanosi picanti Aibler,492,23,43,3.2,0,
Caltabos,307,14,23,8.7,0,
Caltabos de casa Angst,202,19.9,13.2,0.4,0,1 pachet = 300 g
Carnaciori banateni Baroni Lidl,492,21.5,45,0.2,0,1 cutie = 300 g
Carnaciori mix cu legume Junior Farm Meat,262,12.4,23.6,0,0,
Carnat alb Zimbo,285,14,25,1,0,1 buc = 25 g
Carnat porc eco Hanegal ,270,19,22,0,0,
Carnat thuringer,362,17.4,30.4,3.3,0,
Carnati afumati traditionali Maestro,295,17,25,0.5,0,
Carnati Alpin Unicarm,192.6,12.3,15,0.6,0,
Carnati banateni Cris-Tim,352.8,15.1,30.8,4,0,
Carnati cabanos,374,19.4,31.7,0,0,
Carnati cabanos Caroli,315,12.6,29,1,0,1 buc = 60 g
Carnati cabanos Carrefour,345,13.5,32,1.3,0.8,
Carnati cabanos extra Cris-Tim,335.6,18.6,28,2.2,0,
Carnati carne de curcan Stasnik,423,26,35,1.1,0,1 pachet = 70 g
Carnati Criollos,326,13,30,1,0,
Carnati crud uscati picanti Aldis,460,16,41,2,0,
Carnati de bere Caroli,245,16,19,2.5,0,1 buc = 13 g
Carnati de casa Baroni,319,14.6,27.5,2.9,0.6,
Carnati de gratar Alpinia,219.6,14.2,17.5,1.2,0,
Carnati de porc Cris-Tim,284.3,13.8,24.6,1.9,0,
Carnati Ghiudem Aldis,501,18,45,2,0,
Carnati Morcilla Martinez,262,6,26,1,0,1 buc = 60 g
Carnati oltenesti Cris-Tim,310.9,15.3,27.4,0.8,0,
Carnati oltenesti extra Cris-Tim,338.4,16.5,28.1,4.8,0,
Carnati pentru gratar Cris-Tim,312.6,13.6,27.1,3.6,0,
Carnati picanti Sticks Aldis,473,18,42,2,0,1 buc = 25 g
Carnati plescoi Cris-Tim,367.2,15,31.1,3.9,0,
Carnati populari Alpinia,267.9,16.6,20.5,4.2,0,
Carnati proaspeti Longaniza Martinez,226,13,18,3,0,1 buc = 45 g
Carnati semi-afumati Caroli,289,15,25,0,1,1 bucata = 50 g
Carnati semiafumati Cris-Tim Ritmati Vitality,315.9,18,25.8,3,0,1 pachet = 250 g
Carnati speciali de casa Cris-Tim,418.7,18.2,37.3,2.5,0,
Carnati taranesti Caroli,252,14,20,4,0,1 pachet = 200 g
Carnati Trandafir Maestro,198,16,14,2,0,
Carnati vegetali Cris-Tim,202.3,15.4,10.2,12.4,0,
Carne mici light Pegas,133,13,9,0,0,
Ceafa afumata Campofrio,228.3,1.6,16.7,3.5,0,
Ceafa afumata Cris-Tim,143.7,15.5,9,0.3,0,
Ceafa afumata Real,141,15,9,1,0,
Ceafa crud-uscata afumata Gusturi Romanesti,254,22,18,1,1,1 pachet = 80 g
Ceafa de porc afumata,308,24,23.5,0,0,
Ceafa de porc afumata Antipasto Misto Emiliano Lidl,329,26,25,0,0,1 buc = 125 g
Ceafa de porc feliata Auchan,148,15,9.3,1.1,0,1 punga = 100 g
Ceafa mini Campofrio,184,17,12,2,0,
Ciolan presat Caroli,134,18,6,2,0,
Conserva de carne presata de pasare Sadu,195,12.1,14.3,4.5,0,
Costita afumata Alpinia,283.8,16.4,23.3,2,0,
Costita de porc Baroni,333,13,31,0.5,0,
Costita extra Cris-Tim,405,15.1,38,0.7,0,
Cotlet feliat Hofer,211,25,12,0.6,0.1,1 pachet = 100 g
Cotlet Haiducesc Matache Macelaru',106.9,21.3,2,0.9,0,1 pachet = 100 g
Cremwusti pui Sergiana,146,11,11,0,0.5,
Crenvurst de pasare Best Farm,386,10,37,0,0,1 buc = 50 g
Crenvursti Cris-Tim,260,12.1,22.4,2.5,0,
Crenvursti cu pui si cascaval Cris-Tim,238.3,13,19.2,3.4,0,
Crenvursti de pasare Campofrio,196,10,16,3,0,1 buc = 48 g
Crenvursti de pui CasaGruia,191,10,14,6.3,0,1 buc = 70 g
Crenvursti din carne de porc Pikok,284,13,23,1,0,1 crenvurst = 39 g
Crenvursti extra Cris-Tim,234,12.1,17.8,6.4,0,
Crenvursti hot-dog Unicarm,281.1,11.1,23.8,3.5,0,
Crenvursti nemtesti de porc Oldenhaeuser,222,12,19,0.5,0.5,1 buc = 45 g
Crenvursti piept de pui Unicarm,290.1,10.8,25.2,2.8,0,1 bucata = 30 g
Crenvursti polonezi Alpinia,271.2,12.1,23.9,1.9,0,
Crenvursti polonezi Cris-Tim,266.8,12,23.5,1.8,0,
Crenvursti porc Alpinia,231.6,11.2,17.6,6.3,0,
Crenvursti pui,222,4.5,17.8,4.4,0,
Crenvursti pui Caroli,162,14,12,1.5,0,1 crenvurst = 25 g
Crenvursti pui si curcan Wudy Aia,240,15,20,6.8,0,
Crenvursti Vienezi Dulano,283,13,25,1,1,1 cutie = 2 x 200 g = 400 g
Crenvusti curcan Perfect Poultry,225,12.5,19,1,0,1 bucata = 70 g
Crenvusti de pui Perutnina ,236,13.5,20,0.5,0,
